grid,lambda,unlabeled,batch_size,orig_train_acc,orig_test_acc,mod1_train_acc,mod1_test_acc,mod1_avg_rank_train,mod1_avg_rank_test,mod2_train_acc,mod2_test_acc,mod2_avg_rank_train,mod2_avg_rank_test
grid_search_3,0.5,10,170,0.2916256157635468,0.08979591836734693,0.3798778084351596,0.09387755102040816,3.238372093023256,8.528979591836734,0.3798778084351596,0.09387755102040816,3.238372093023256,8.528979591836734
grid_search_3,0.5,15,150,0.3807881773399015,0.08979591836734693,0.46078044934962553,0.09142857142857143,2.5910524241229798,8.030204081632654,0.46078044934962553,0.09142857142857143,2.5910524241229798,8.030204081632654
grid_search_3,0.5,15,170,0.30098522167487685,0.09551020408163265,0.4025423728813559,0.08979591836734693,2.999704375246354,8.398367346938775,0.4025423728813559,0.08979591836734693,2.999704375246354,8.398367346938775
grid_search_3,0.5,5,150,0.23891625615763548,0.10204081632653061,0.32962160031533305,0.10040816326530612,3.4792077256602285,9.399183673469388,0.32962160031533305,0.10040816326530612,3.4792077256602285,9.399183673469388
grid_search_3,0.5,5,170,0.229064039408867,0.09061224489795919,0.33119826566811195,0.09387755102040816,3.5955853370122193,9.948571428571428,0.33119826566811195,0.09387755102040816,3.5955853370122193,9.948571428571428
grid_search_4,0.1,10,100,0.9881773399014778,0.1363265306122449,0.9909341742215215,0.13714285714285715,1.0091643673630273,2.5518367346938775,0.9909341742215215,0.13714285714285715,1.0091643673630273,2.5518367346938775
grid_search_4,0.1,10,120,1.0,0.13551020408163264,0.9991131257390619,0.13551020408163264,1.000886874260938,2.5942857142857143,0.9991131257390619,0.13551020408163264,1.000886874260938,2.5942857142857143
grid_search_4,0.1,10,150,1.0,0.12081632653061225,1.0,0.12081632653061225,1.0,2.462040816326531,1.0,0.12081632653061225,1.0,2.462040816326531
grid_search_4,0.1,10,170,0.9876847290640394,0.11918367346938775,0.9836420969649192,0.11918367346938775,1.025522270398108,3.0685714285714285,0.9836420969649192,0.11918367346938775,1.025522270398108,3.0685714285714285
grid_search_4,0.1,10,80,0.9980295566502463,0.13142857142857142,0.9988175009854159,0.13142857142857142,1.0011824990145841,2.617142857142857,0.9988175009854159,0.13142857142857142,1.0011824990145841,2.617142857142857
