Gene,C,Z,Pval,FDR
Bex6,0.04881429644983611,9.97128,1.0179387231177277e-23,1.4069367351662881e-22
Cybb,0.14525277149721752,9.940997,1.380249620322823e-23,1.8908198338581683e-22
Ms4a6d,0.09499869579520881,9.8491535,3.4561836407023335e-23,4.693133575269484e-22
Car2,0.043091646663146146,9.842825,3.6807122415062193e-23,4.954558739001415e-22
Mgst1,0.09608575059479832,9.791927,6.097441168426377e-23,8.136930110968992e-22
Itgb3,0.04588646461483081,9.753115,8.944680561145176e-23,1.1834500434745926e-21
Lyz2,0.15644029398425996,9.515788,9.017036241875836e-22,1.1829128900359148e-20
Tnfsf10,0.03439470504203431,9.496044,1.0900766892695243e-21,1.4180157268817006e-20
Ifit2,0.02868673332121214,9.3784275,3.34819697957258e-21,4.3191741036486284e-20
Gmpr,0.045892407369761586,9.2928,7.514095341789995e-21,9.613074040571001e-20
Lcn2,0.11316785031983476,9.285203,8.069962213098553e-21,1.0239591398259476e-19
1100001G20Rik,0.1680584873719926,9.265981,9.664635432984121e-21,1.2163297276633674e-19
Tspan13,0.043918969673835476,9.246552,1.1592508308033207e-20,1.4471937790996294e-19
Dkkl1,0.03697744199844387,9.17595,2.2380490702194362e-20,2.7715999685597496e-19
Fam46a,0.05746461702552208,9.135253,3.2627022683603317e-20,4.008462786842693e-19
Mgst2,0.10819227993084993,9.12997,3.425926721634571e-20,4.175853988260091e-19
Cmpk2,0.04544457457560015,9.114368,3.956500121196253e-20,4.784892334071718e-19
Slc7a8,0.06671370947757325,9.023842,9.080304098927111e-20,1.0896364918712533e-18
Smad3,0.03411661876986037,8.999101,1.137870671931154e-19,1.3549413847303281e-18
Ifi30,0.08691669073133877,8.810287,6.24126645054661e-19,7.375175927821489e-18
Pdcd1lg2,0.034879724126751284,8.804616,6.565068298744142e-19,7.699034641254493e-18
Nkx2-3,0.030554057191634593,8.778246,8.302194399908173e-19,9.663005211321693e-18
