Gene,C,Z,Pval,FDR
Eltd1,0.07935802838336939,17.277853,3.453584313859398e-67,3.661745560174211e-66
Cd9,0.09615283976270338,17.066896,1.3087475690826316e-65,1.3781913176461997e-64
Tcf4,0.08960812964825397,16.990234,4.8500404097585865e-65,5.072880104261008e-64
Ctss,0.1412649861049466,16.762733,2.2855801771202923e-63,2.374549069920948e-62
Ccnd2,0.1116238104193678,16.673248,1.0256863927321918e-62,1.058508357299622e-61
Ccl24,0.061872988256708755,16.512953,1.480185741828623e-61,1.5174354492388798e-60
Lpl,0.20565616384566657,16.485899,2.316756498901744e-61,2.3594335923025656e-60
Isg20,0.07813602955129398,16.479677,2.5679168996823717e-61,2.5981276867374585e-60
Oasl1,0.06374757605700218,16.459316,3.595405930310655e-61,3.614083363714866e-60
Clec4d,0.08088454107197796,16.430174,5.81624680796259e-61,5.80874197337167e-60
Pld4,0.15023183755117267,16.427254,6.103155605512517e-61,6.056208254700882e-60
Ifi44,0.06171900840210649,16.307173,4.388090936883788e-60,4.326601764519811e-59
Ikzf2,0.10863088831623555,16.306221,4.4569843263129176e-60,4.366716289324301e-59
Fscn1,0.05236873414223815,16.303802,4.6369349511079286e-60,4.514449876927719e-59
Hip1,0.062223609107183976,16.217081,1.909594236266588e-59,1.847532423587924e-58
Hmgn3,0.0713978327428306,16.123907,8.664886460620045e-59,8.331207603130329e-58
Fabp5,0.119845134049478,16.04358,3.1696618981277717e-58,3.0287880359887594e-57
Mgst2,0.18127605169322628,15.99782,6.616415488280522e-58,6.283565138563342e-57
H1f0,0.08097579757495119,15.973632,9.754401763193753e-58,9.207203615502396e-57
Fam46a,0.09872984191367119,15.906401,2.860466807405916e-57,2.6836379502208233e-56
Havcr2,0.05514338416524115,15.59978,3.652265204370244e-55,3.405847311063336e-54
Podxl,0.0753155219444458,15.459653,3.2473776569329175e-54,3.010144079600093e-53
H2-Eb1,0.23642747780904794,15.382595,1.0709401715050247e-53,9.867948723153442e-53
Itga2b,0.08432065975310284,15.221867,1.2660117191041559e-52,1.1596367699249902e-51
Dkkl1,0.05907241429279486,15.143819,4.161831334781348e-52,3.78971465073031e-51
Pglyrp1,0.17647950040592414,14.893249,1.8230722906324127e-50,1.6503601788882893e-49
Smad3,0.05077238057981011,14.859516,3.0179775246519443e-50,2.71617977218675e-49
Tmem108,0.06981276880885945,14.8363085,4.2661911970073713e-50,3.8173780190563065e-49
Thy1,0.0931978757217571,14.715895,2.5483825570462343e-49,2.2671817231652705e-48
Aff3,0.05675750568400287,14.69177,3.6393903199846704e-49,3.2193006944778684e-48
Vcan,0.3990798843331534,14.683419,4.116595284588607e-49,3.620732670763161e-48
Kcns1,0.035016057175734555,14.619279,1.058149332939342e-48,9.254322979605094e-48
Epb4.1l4b,0.07396331340438515,14.541148,3.323417120788554e-48,2.8902526421239784e-47
BC147527,0.05185062876328189,14.505491,5.591697409341726e-48,4.835724910425135e-47
Myadm,0.11082055331236279,14.444574,1.3561382079780954e-47,1.1662788588611621e-46
Jhdm1d,0.12213481495343413,14.166325,7.402436535065593e-46,6.330923622254992e-45
Meis1,0.06474259225938542,13.845255,6.794891060928881e-44,5.779390858416433e-43
Socs1,0.07358547922932081,13.785109,1.5664745779213443e-43,1.3250834134547765e-42
