"","Monocyte","Neutrophil","Undifferentiated","Other","Monocyte_proportion","Neutrophil_proportion","Undifferentiated_proportion","Other_proportion","lineage_size","entropy"
"Lineage_714",0,3,0,0,0,1,0,0,3,0
"Lineage_716",0,22,2,0,0,0.916666666666667,0.0833333333333333,0,24,0.249882292833185
"Lineage_719",0,0,3,0,0,0,1,0,3,1
"Lineage_72",0,2,0,0,0,1,0,0,2,0
"Lineage_721",6,1,7,0,0.428571428571429,0.0714285714285714,0.5,0,14,0.905928216042999
"Lineage_722",0,0,18,0,0,0,1,0,18,1
"Lineage_724",0,0,1,0,0,0,1,0,1,1
"Lineage_732",0,0,1,0,0,0,1,0,1,1
"Lineage_734",0,3,0,0,0,1,0,0,3,0
"Lineage_735",2,0,0,0,1,0,0,0,2,0
"Lineage_737",3,8,2,0,0.230769230769231,0.615384615384615,0.153846153846154,0,13,0.890491640219491
"Lineage_739",0,10,4,0,0,0.714285714285714,0.285714285714286,0,14,0.591672778582327
"Lineage_740",0,0,7,2,0,0,0.777777777777778,0.222222222222222,9,NA
"Lineage_744",4,0,0,0,1,0,0,0,4,0
"Lineage_746",2,0,2,0,0.5,0,0.5,0,4,0.811278124459133
"Lineage_747",0,0,5,0,0,0,1,0,5,1
"Lineage_748",0,6,4,0,0,0.6,0.4,0,10,0.721928094887362
"Lineage_750",0,0,7,0,0,0,1,0,7,1
"Lineage_753",0,0,8,2,0,0,0.8,0.2,10,NA
"Lineage_754",0,0,0,4,0,0,0,1,4,NA
"Lineage_755",0,0,8,49,0,0,0.140350877192982,0.859649122807018,57,NA
"Lineage_756",10,0,2,0,0.833333333333333,0,0.166666666666667,0,12,0.413816850303634
"Lineage_757",0,1,3,0,0,0.25,0.75,0,4,0.954434002924965
"Lineage_759",0,0,2,2,0,0,0.5,0.5,4,NA
"Lineage_762",0,0,3,0,0,0,1,0,3,1
"Lineage_764",0,0,2,0,0,0,1,0,2,1
"Lineage_766",3,34,6,0,0.0697674418604651,0.790697674418605,0.13953488372093,0,43,0.583019416734701
"Lineage_768",0,0,6,0,0,0,1,0,6,1
"Lineage_771",0,0,14,0,0,0,1,0,14,1
"Lineage_772",0,0,0,3,0,0,0,1,3,NA
"Lineage_776",0,0,2,6,0,0,0.25,0.75,8,NA
"Lineage_777",0,0,5,16,0,0,0.238095238095238,0.761904761904762,21,NA
"Lineage_781",4,0,0,0,1,0,0,0,4,0
"Lineage_784",19,19,3,1,0.452380952380952,0.452380952380952,0.0714285714285714,0.0238095238095238,42,NA
"Lineage_785",0,0,0,13,0,0,0,1,13,NA
"Lineage_787",0,0,2,0,0,0,1,0,2,1
"Lineage_788",2,3,2,0,0.285714285714286,0.428571428571429,0.285714285714286,0,7,0.985228136034252
"Lineage_789",0,3,0,0,0,1,0,0,3,0
"Lineage_794",1,2,0,0,0.333333333333333,0.666666666666667,0,0,3,0.91829583405449
"Lineage_795",1,3,8,0,0.0833333333333333,0.25,0.666666666666667,0,12,0.979868756651153
"Lineage_8",0,1,0,2,0,0.333333333333333,0,0.666666666666667,3,NA
"Lineage_80",1,0,2,0,0.333333333333333,0,0.666666666666667,0,3,0.91829583405449
"Lineage_801",36,8,26,0,0.514285714285714,0.114285714285714,0.371428571428571,0,70,0.881290899230693
"Lineage_802",27,0,0,0,1,0,0,0,27,0
"Lineage_806",0,0,13,0,0,0,1,0,13,1
"Lineage_807",1,0,4,0,0.2,0,0.8,0,5,0.970950594454669
"Lineage_81",0,0,9,0,0,0,1,0,9,1
"Lineage_813",0,0,19,0,0,0,1,0,19,1
"Lineage_82",0,5,0,0,0,1,0,0,5,0
"Lineage_820",0,6,2,0,0,0.75,0.25,0,8,0.543564443199596
"Lineage_825",0,0,1,5,0,0,0.166666666666667,0.833333333333333,6,NA
"Lineage_826",1,0,0,0,1,0,0,0,1,0
"Lineage_830",9,0,0,0,1,0,0,0,9,0
"Lineage_831",0,5,7,0,0,0.416666666666667,0.583333333333333,0,12,0.870864469235364
"Lineage_835",0,0,15,0,0,0,1,0,15,1
"Lineage_837",0,2,3,1,0,0.333333333333333,0.5,0.166666666666667,6,NA
"Lineage_838",3,0,0,0,1,0,0,0,3,0
"Lineage_839",0,0,0,8,0,0,0,1,8,NA
"Lineage_84",0,0,1,35,0,0,0.0277777777777778,0.972222222222222,36,NA
"Lineage_841",3,0,3,1,0.428571428571429,0,0.428571428571429,0.142857142857143,7,NA
"Lineage_843",0,1,2,7,0,0.1,0.2,0.7,10,NA
"Lineage_844",0,0,6,1,0,0,0.857142857142857,0.142857142857143,7,NA
"Lineage_845",14,0,0,0,1,0,0,0,14,0
"Lineage_849",0,1,0,0,0,1,0,0,1,0
"Lineage_850",5,0,1,0,0.833333333333333,0,0.166666666666667,0,6,0.413816850303634
"Lineage_851",0,2,11,0,0,0.153846153846154,0.846153846153846,0,13,0.982858689712706
"Lineage_854",0,0,11,0,0,0,1,0,11,1
"Lineage_858",0,0,18,0,0,0,1,0,18,1
"Lineage_859",4,0,0,0,1,0,0,0,4,0
"Lineage_860",0,0,6,0,0,0,1,0,6,1
"Lineage_862",0,0,21,0,0,0,1,0,21,1
"Lineage_867",0,0,3,3,0,0,0.5,0.5,6,NA
"Lineage_874",0,0,0,6,0,0,0,1,6,NA
"Lineage_875",0,0,0,2,0,0,0,1,2,NA
"Lineage_876",0,0,4,0,0,0,1,0,4,1
"Lineage_878",0,0,11,0,0,0,1,0,11,1
"Lineage_88",0,0,16,0,0,0,1,0,16,1
"Lineage_882",0,0,1,9,0,0,0.1,0.9,10,NA
"Lineage_886",0,0,0,3,0,0,0,1,3,NA
"Lineage_888",0,0,0,3,0,0,0,1,3,NA
"Lineage_889",0,0,11,0,0,0,1,0,11,1
"Lineage_891",3,0,1,0,0.75,0,0.25,0,4,0.543564443199596
"Lineage_892",9,0,0,0,1,0,0,0,9,0
"Lineage_893",0,1,4,0,0,0.2,0.8,0,5,0.970950594454669
"Lineage_895",0,0,2,4,0,0,0.333333333333333,0.666666666666667,6,NA
"Lineage_896",0,0,1,0,0,0,1,0,1,1
"Lineage_899",0,0,0,5,0,0,0,1,5,NA
"Lineage_902",0,0,3,0,0,0,1,0,3,1
"Lineage_903",0,0,0,2,0,0,0,1,2,NA
"Lineage_907",0,0,10,0,0,0,1,0,10,1
"Lineage_908",4,0,0,0,1,0,0,0,4,0
"Lineage_909",1,0,7,2,0.1,0,0.7,0.2,10,NA
"Lineage_910",4,5,4,0,0.307692307692308,0.384615384615385,0.307692307692308,0,13,0.995727452084926
"Lineage_917",5,9,0,1,0.333333333333333,0.6,0,0.0666666666666667,15,NA
"Lineage_922",0,18,5,0,0,0.782608695652174,0.217391304347826,0,23,0.495969072061834
"Lineage_926",2,2,1,0,0.4,0.4,0.2,0,5,1
"Lineage_928",0,0,3,0,0,0,1,0,3,1
"Lineage_929",0,0,21,4,0,0,0.84,0.16,25,NA
"Lineage_93",0,6,4,0,0,0.6,0.4,0,10,0.721928094887362
"Lineage_931",0,0,3,0,0,0,1,0,3,1
"Lineage_932",13,10,0,1,0.541666666666667,0.416666666666667,0,0.0416666666666667,24,NA
"Lineage_936",5,0,3,0,0.625,0,0.375,0,8,0.696212260125146
"Lineage_938",0,0,4,0,0,0,1,0,4,1
"Lineage_939",0,0,8,0,0,0,1,0,8,1
"Lineage_940",0,0,3,0,0,0,1,0,3,1
"Lineage_941",0,1,0,0,0,1,0,0,1,0
"Lineage_949",0,1,0,0,0,1,0,0,1,0
"Lineage_950",1,0,0,0,1,0,0,0,1,0
"Lineage_951",0,0,5,0,0,0,1,0,5,1
"Lineage_958",0,4,5,3,0,0.333333333333333,0.416666666666667,0.25,12,NA
"Lineage_959",0,3,0,0,0,1,0,0,3,0
