"","Monocyte","Neutrophil","Undifferentiated","Other","Monocyte_proportion","Neutrophil_proportion","Undifferentiated_proportion","Other_proportion","lineage_size","entropy"
"Lineage_1957",3,0,1,0,0.75,0,0.25,0,4,0.543564443199596
"Lineage_1958",0,0,0,3,0,0,0,1,3,NA
"Lineage_1960",0,8,14,0,0,0.363636363636364,0.636363636363636,0,22,0.902393282794979
"Lineage_1962",3,2,0,0,0.6,0.4,0,0,5,0.970950594454669
"Lineage_1963",0,0,5,0,0,0,1,0,5,1
"Lineage_1967",9,0,17,0,0.346153846153846,0,0.653846153846154,0,26,0.911751758634754
"Lineage_1968",0,0,18,0,0,0,1,0,18,1
"Lineage_1969",0,0,7,0,0,0,1,0,7,1
"Lineage_1972",0,0,9,5,0,0,0.642857142857143,0.357142857142857,14,NA
"Lineage_1975",4,0,1,0,0.8,0,0.2,0,5,0.468995593589281
"Lineage_1976",0,0,0,1,0,0,0,1,1,NA
"Lineage_1978",8,39,3,0,0.16,0.78,0.06,0,50,0.701471459883897
"Lineage_198",4,0,0,0,1,0,0,0,4,0
"Lineage_1982",1,13,11,0,0.04,0.52,0.44,0,25,0.826746372492618
"Lineage_1983",0,0,0,21,0,0,0,1,21,NA
"Lineage_1984",0,3,2,0,0,0.6,0.4,0,5,0.721928094887362
"Lineage_1985",1,6,2,0,0.111111111111111,0.666666666666667,0.222222222222222,0,9,0.76420450650862
"Lineage_1987",9,0,0,0,1,0,0,0,9,0
"Lineage_1988",7,1,0,0,0.875,0.125,0,0,8,0.543564443199596
"Lineage_1989",2,8,1,0,0.181818181818182,0.727272727272727,0.0909090909090909,0,11,0.773226674287635
"Lineage_1990",0,0,0,3,0,0,0,1,3,NA
"Lineage_1996",0,0,6,0,0,0,1,0,6,1
"Lineage_1997",0,6,0,0,0,1,0,0,6,0
"Lineage_1998",18,3,3,0,0.75,0.125,0.125,0,24,0.696212260125146
"Lineage_1999",0,7,0,0,0,1,0,0,7,0
"Lineage_2",0,0,5,0,0,0,1,0,5,1
"Lineage_200",0,0,11,0,0,0,1,0,11,1
"Lineage_2000",2,4,0,0,0.333333333333333,0.666666666666667,0,0,6,0.91829583405449
"Lineage_2001",0,0,0,1,0,0,0,1,1,NA
"Lineage_2002",0,5,0,0,0,1,0,0,5,0
"Lineage_2005",8,31,3,1,0.186046511627907,0.720930232558139,0.0697674418604651,0.0232558139534884,43,NA
"Lineage_2007",0,0,5,69,0,0,0.0675675675675676,0.932432432432432,74,NA
"Lineage_201",0,5,3,0,0,0.625,0.375,0,8,0.696212260125146
"Lineage_2010",0,0,0,4,0,0,0,1,4,NA
"Lineage_2011",0,7,0,0,0,1,0,0,7,0
"Lineage_2013",0,4,0,0,0,1,0,0,4,0
"Lineage_2014",1,0,0,0,1,0,0,0,1,0
"Lineage_2015",2,66,3,1,0.0277777777777778,0.916666666666667,0.0416666666666667,0.0138888888888889,72,NA
"Lineage_2016",3,0,0,0,1,0,0,0,3,0
"Lineage_2019",0,0,6,0,0,0,1,0,6,1
"Lineage_202",0,0,2,0,0,0,1,0,2,1
"Lineage_2022",0,0,4,0,0,0,1,0,4,1
"Lineage_2023",4,0,1,0,0.8,0,0.2,0,5,0.468995593589281
"Lineage_2024",0,0,10,0,0,0,1,0,10,1
"Lineage_2031",0,0,9,0,0,0,1,0,9,1
"Lineage_2036",0,1,0,6,0,0.142857142857143,0,0.857142857142857,7,NA
"Lineage_2037",0,6,0,0,0,1,0,0,6,0
"Lineage_2039",17,0,11,1,0.586206896551724,0,0.379310344827586,0.0344827586206897,29,NA
"Lineage_2040",0,0,9,0,0,0,1,0,9,1
"Lineage_2042",3,1,2,0,0.5,0.166666666666667,0.333333333333333,0,6,0.91829583405449
"Lineage_2043",0,0,12,0,0,0,1,0,12,1
"Lineage_2045",0,0,1,2,0,0,0.333333333333333,0.666666666666667,3,NA
"Lineage_2046",6,0,0,0,1,0,0,0,6,0
"Lineage_2047",10,0,0,0,1,0,0,0,10,0
"Lineage_205",14,0,1,0,0.933333333333333,0,0.0666666666666667,0,15,0.210842300318532
"Lineage_2050",0,0,4,0,0,0,1,0,4,1
"Lineage_2052",0,3,0,0,0,1,0,0,3,0
"Lineage_2053",0,0,10,0,0,0,1,0,10,1
"Lineage_2054",0,2,0,0,0,1,0,0,2,0
"Lineage_2057",20,4,0,0,0.833333333333333,0.166666666666667,0,0,24,0.650022421648354
"Lineage_2058",0,0,7,0,0,0,1,0,7,1
"Lineage_2061",0,2,6,0,0,0.25,0.75,0,8,0.954434002924965
"Lineage_2062",0,0,0,1,0,0,0,1,1,NA
"Lineage_2063",0,0,6,0,0,0,1,0,6,1
"Lineage_2065",0,0,6,0,0,0,1,0,6,1
"Lineage_2067",0,0,6,0,0,0,1,0,6,1
"Lineage_2068",0,0,14,0,0,0,1,0,14,1
"Lineage_2073",0,1,13,3,0,0.0588235294117647,0.764705882352941,0.176470588235294,17,NA
"Lineage_2074",0,0,29,17,0,0,0.630434782608696,0.369565217391304,46,NA
"Lineage_2075",0,6,1,0,0,0.857142857142857,0.142857142857143,0,7,0.371232326640876
"Lineage_2080",0,0,5,2,0,0,0.714285714285714,0.285714285714286,7,NA
"Lineage_2081",0,0,14,0,0,0,1,0,14,1
"Lineage_2082",2,0,0,0,1,0,0,0,2,0
"Lineage_2084",0,0,0,3,0,0,0,1,3,NA
"Lineage_2085",6,1,2,0,0.666666666666667,0.111111111111111,0.222222222222222,0,9,0.76420450650862
"Lineage_2089",3,0,0,0,1,0,0,0,3,0
"Lineage_2091",0,9,0,12,0,0.428571428571429,0,0.571428571428571,21,NA
"Lineage_2092",0,1,21,9,0,0.032258064516129,0.67741935483871,0.290322580645161,31,NA
"Lineage_2093",0,0,0,7,0,0,0,1,7,NA
"Lineage_2094",0,0,22,2,0,0,0.916666666666667,0.0833333333333333,24,NA
"Lineage_2095",0,8,0,0,0,1,0,0,8,0
"Lineage_2097",0,0,4,0,0,0,1,0,4,1
"Lineage_21",5,0,6,0,0.454545454545455,0,0.545454545454545,0,11,0.845350936622436
"Lineage_210",7,0,1,0,0.875,0,0.125,0,8,0.337290066617014
"Lineage_2103",0,0,0,7,0,0,0,1,7,NA
"Lineage_2106",0,0,1,0,0,0,1,0,1,1
"Lineage_2109",0,0,0,18,0,0,0,1,18,NA
"Lineage_211",0,0,3,0,0,0,1,0,3,1
"Lineage_2110",0,5,0,0,0,1,0,0,5,0
"Lineage_2111",0,17,2,1,0,0.85,0.1,0.05,20,NA
"Lineage_2114",0,0,8,0,0,0,1,0,8,1
"Lineage_2115",7,13,10,0,0.233333333333333,0.433333333333333,0.333333333333333,0,30,0.970950594454669
"Lineage_2116",0,0,7,7,0,0,0.5,0.5,14,NA
"Lineage_2119",0,0,8,0,0,0,1,0,8,1
"Lineage_212",0,12,1,0,0,0.923076923076923,0.0769230769230769,0,13,0.235193381819241
"Lineage_2120",4,2,1,0,0.571428571428571,0.285714285714286,0.142857142857143,0,7,0.940285958670631
"Lineage_2123",0,0,3,3,0,0,0.5,0.5,6,NA
"Lineage_2127",0,5,0,0,0,1,0,0,5,0
"Lineage_213",0,0,0,2,0,0,0,1,2,NA
"Lineage_2131",0,6,0,8,0,0.428571428571429,0,0.571428571428571,14,NA
"Lineage_2132",2,0,3,2,0.285714285714286,0,0.428571428571429,0.285714285714286,7,NA
"Lineage_2133",1,3,0,0,0.25,0.75,0,0,4,0.811278124459133
"Lineage_2139",0,4,2,0,0,0.666666666666667,0.333333333333333,0,6,0.650022421648354
"Lineage_214",3,0,17,0,0.15,0,0.85,0,20,0.983708262623186
"Lineage_2143",0,1,0,0,0,1,0,0,1,0
"Lineage_2144",7,0,2,0,0.777777777777778,0,0.222222222222222,0,9,0.503258334775646
"Lineage_2145",0,0,0,3,0,0,0,1,3,NA
"Lineage_2146",0,0,6,0,0,0,1,0,6,1
"Lineage_2149",0,0,4,0,0,0,1,0,4,1
"Lineage_2151",0,0,2,5,0,0,0.285714285714286,0.714285714285714,7,NA
"Lineage_2158",6,0,0,0,1,0,0,0,6,0
"Lineage_2159",0,7,0,0,0,1,0,0,7,0
"Lineage_2161",0,1,0,0,0,1,0,0,1,0
"Lineage_2162",0,0,4,0,0,0,1,0,4,1
"Lineage_2164",0,0,3,20,0,0,0.130434782608696,0.869565217391304,23,NA
"Lineage_2168",0,0,2,0,0,0,1,0,2,1
"Lineage_2170",0,0,2,5,0,0,0.285714285714286,0.714285714285714,7,NA
"Lineage_2171",6,3,4,0,0.461538461538462,0.230769230769231,0.307692307692308,0,13,0.961236604722876
"Lineage_2172",0,0,8,0,0,0,1,0,8,1
"Lineage_2173",0,16,12,7,0,0.457142857142857,0.342857142857143,0.2,35,NA
"Lineage_2174",5,0,0,0,1,0,0,0,5,0
"Lineage_2176",0,0,2,0,0,0,1,0,2,1
"Lineage_2183",0,0,4,0,0,0,1,0,4,1
"Lineage_2184",0,6,7,0,0,0.461538461538462,0.538461538461538,0,13,0.840358671609117
"Lineage_2187",4,0,0,0,1,0,0,0,4,0
"Lineage_2189",0,46,3,1,0,0.92,0.06,0.02,50,NA
"Lineage_219",0,0,4,0,0,0,1,0,4,1
"Lineage_2190",0,46,0,2,0,0.958333333333333,0,0.0416666666666667,48,NA
"Lineage_2191",1,0,1,0,0.5,0,0.5,0,2,0.811278124459133
"Lineage_2193",0,0,22,0,0,0,1,0,22,1
"Lineage_2194",1,1,0,0,0.5,0.5,0,0,2,1
"Lineage_2196",3,1,0,0,0.75,0.25,0,0,4,0.811278124459133
"Lineage_2198",0,0,4,0,0,0,1,0,4,1
"Lineage_220",0,0,6,0,0,0,1,0,6,1
"Lineage_2200",0,0,1,0,0,0,1,0,1,1
"Lineage_2205",0,0,1,0,0,0,1,0,1,1
"Lineage_2206",0,0,10,0,0,0,1,0,10,1
"Lineage_2207",0,0,3,0,0,0,1,0,3,1
"Lineage_221",3,1,0,0,0.75,0.25,0,0,4,0.811278124459133
"Lineage_2211",0,0,7,0,0,0,1,0,7,1
"Lineage_2213",0,0,13,0,0,0,1,0,13,1
"Lineage_2217",0,0,0,5,0,0,0,1,5,NA
"Lineage_2219",4,1,2,0,0.571428571428571,0.142857142857143,0.285714285714286,0,7,0.863120568566631
"Lineage_2223",10,2,3,0,0.666666666666667,0.133333333333333,0.2,0,15,0.783776947484701
"Lineage_2224",0,15,2,0,0,0.882352941176471,0.117647058823529,0,17,0.322756958897398
"Lineage_2225",22,0,3,0,0.88,0,0.12,0,25,0.327444919154476
"Lineage_2226",11,0,1,0,0.916666666666667,0,0.0833333333333333,0,12,0.249882292833185
"Lineage_2228",7,0,0,0,1,0,0,0,7,0
"Lineage_2231",0,5,2,0,0,0.714285714285714,0.285714285714286,0,7,0.591672778582327
"Lineage_2232",5,0,6,2,0.384615384615385,0,0.461538461538462,0.153846153846154,13,NA
"Lineage_2235",3,0,3,0,0.5,0,0.5,0,6,0.811278124459133
"Lineage_2236",0,10,4,1,0,0.666666666666667,0.266666666666667,0.0666666666666667,15,NA
"Lineage_2237",0,0,5,0,0,0,1,0,5,1
"Lineage_2239",4,0,1,0,0.8,0,0.2,0,5,0.468995593589281
"Lineage_2240",0,4,7,0,0,0.363636363636364,0.636363636363636,0,11,0.902393282794979
"Lineage_2247",8,28,8,0,0.181818181818182,0.636363636363636,0.181818181818182,0,44,0.845350936622436
"Lineage_2248",0,0,10,0,0,0,1,0,10,1
"Lineage_2249",0,0,13,1,0,0,0.928571428571429,0.0714285714285714,14,NA
"Lineage_2250",0,1,1,0,0,0.5,0.5,0,2,0.811278124459133
"Lineage_2255",0,0,0,12,0,0,0,1,12,NA
"Lineage_2256",0,0,0,88,0,0,0,1,88,NA
"Lineage_2257",2,0,0,0,1,0,0,0,2,0
"Lineage_2258",2,0,0,0,1,0,0,0,2,0
"Lineage_2259",3,0,0,0,1,0,0,0,3,0
"Lineage_2263",0,0,1,2,0,0,0.333333333333333,0.666666666666667,3,NA
"Lineage_2268",16,0,0,0,1,0,0,0,16,0
"Lineage_227",0,0,10,0,0,0,1,0,10,1
"Lineage_2272",0,5,12,6,0,0.217391304347826,0.521739130434783,0.260869565217391,23,NA
"Lineage_2273",0,0,4,0,0,0,1,0,4,1
"Lineage_2274",0,0,9,1,0,0,0.9,0.1,10,NA
"Lineage_2275",0,0,0,2,0,0,0,1,2,NA
"Lineage_2276",5,3,2,0,0.5,0.3,0.2,0,10,0.970950594454669
"Lineage_2277",3,0,0,0,1,0,0,0,3,0
"Lineage_2278",3,4,1,0,0.375,0.5,0.125,0,8,0.988699408288497
"Lineage_2279",0,0,5,0,0,0,1,0,5,1
"Lineage_228",0,0,1,2,0,0,0.333333333333333,0.666666666666667,3,NA
"Lineage_2280",0,0,12,0,0,0,1,0,12,1
"Lineage_2281",18,0,2,0,0.9,0,0.1,0,20,0.286396957115956
"Lineage_2282",0,0,0,21,0,0,0,1,21,NA
"Lineage_2284",0,0,0,2,0,0,0,1,2,NA
"Lineage_2286",1,0,8,0,0.111111111111111,0,0.888888888888889,0,9,0.991076059838222
"Lineage_2287",1,0,0,23,0.0416666666666667,0,0,0.958333333333333,24,NA
"Lineage_2288",0,0,7,0,0,0,1,0,7,1
"Lineage_2290",0,0,0,2,0,0,0,1,2,NA
"Lineage_2291",0,2,0,0,0,1,0,0,2,0
"Lineage_2294",0,1,1,0,0,0.5,0.5,0,2,0.811278124459133
"Lineage_2295",0,0,11,0,0,0,1,0,11,1
"Lineage_2296",20,0,7,0,0.740740740740741,0,0.259259259259259,0,27,0.556421567288428
"Lineage_2297",0,0,7,0,0,0,1,0,7,1
"Lineage_2299",0,15,5,0,0,0.75,0.25,0,20,0.543564443199596
"Lineage_23",3,3,0,0,0.5,0.5,0,0,6,1
"Lineage_2302",0,25,4,0,0,0.862068965517241,0.137931034482759,0,29,0.362051251733998
"Lineage_2304",10,0,0,0,1,0,0,0,10,0
"Lineage_2306",7,0,0,0,1,0,0,0,7,0
"Lineage_2307",0,5,0,0,0,1,0,0,5,0
"Lineage_2308",0,0,4,0,0,0,1,0,4,1
"Lineage_2309",0,0,4,2,0,0,0.666666666666667,0.333333333333333,6,NA
"Lineage_2310",5,0,0,0,1,0,0,0,5,0
"Lineage_2311",0,1,0,5,0,0.166666666666667,0,0.833333333333333,6,NA
"Lineage_2313",2,1,1,0,0.5,0.25,0.25,0,4,0.954434002924965
"Lineage_2314",0,0,0,7,0,0,0,1,7,NA
"Lineage_2315",0,0,2,4,0,0,0.333333333333333,0.666666666666667,6,NA
"Lineage_2318",6,13,2,0,0.285714285714286,0.619047619047619,0.0952380952380952,0,21,0.91829583405449
"Lineage_2319",0,7,1,0,0,0.875,0.125,0,8,0.337290066617014
"Lineage_2322",0,0,3,2,0,0,0.6,0.4,5,NA
"Lineage_2323",0,0,4,0,0,0,1,0,4,1
"Lineage_2327",0,0,3,0,0,0,1,0,3,1
"Lineage_233",0,0,0,3,0,0,0,1,3,NA
"Lineage_2331",0,0,6,3,0,0,0.666666666666667,0.333333333333333,9,NA
"Lineage_2332",3,12,14,0,0.103448275862069,0.413793103448276,0.482758620689655,0,29,0.929363626013719
"Lineage_2333",6,5,13,0,0.25,0.208333333333333,0.541666666666667,0,24,0.998747297936168
"Lineage_2334",0,1,0,0,0,1,0,0,1,0
"Lineage_2335",0,5,0,0,0,1,0,0,5,0
"Lineage_2336",0,1,2,0,0,0.333333333333333,0.666666666666667,0,3,0.91829583405449
"Lineage_2340",0,0,5,0,0,0,1,0,5,1
"Lineage_2341",1,0,0,0,1,0,0,0,1,0
"Lineage_2342",9,0,2,0,0.818181818181818,0,0.181818181818182,0,11,0.439496986921513
"Lineage_2343",0,1,0,2,0,0.333333333333333,0,0.666666666666667,3,NA
"Lineage_2347",0,4,1,0,0,0.8,0.2,0,5,0.468995593589281
"Lineage_2349",0,0,0,24,0,0,0,1,24,NA
"Lineage_235",2,0,5,0,0.285714285714286,0,0.714285714285714,0,7,0.940285958670631
"Lineage_2350",0,0,15,0,0,0,1,0,15,1
"Lineage_2354",0,1,0,0,0,1,0,0,1,0
"Lineage_2358",2,1,11,0,0.142857142857143,0.0714285714285714,0.785714285714286,0,14,0.996316519558962
"Lineage_236",0,0,2,0,0,0,1,0,2,1
"Lineage_2362",0,1,14,0,0,0.0666666666666667,0.933333333333333,0,15,0.996791631981637
"Lineage_2363",0,0,4,3,0,0,0.571428571428571,0.428571428571429,7,NA
"Lineage_2367",0,0,1,26,0,0,0.037037037037037,0.962962962962963,27,NA
"Lineage_2369",1,1,0,0,0.5,0.5,0,0,2,1
"Lineage_2370",53,31,24,1,0.486238532110092,0.284403669724771,0.220183486238532,0.00917431192660551,109,NA
"Lineage_2371",0,0,4,0,0,0,1,0,4,1
"Lineage_2372",7,0,0,0,1,0,0,0,7,0
"Lineage_2374",3,0,3,0,0.5,0,0.5,0,6,0.811278124459133
"Lineage_2376",0,2,0,0,0,1,0,0,2,0
"Lineage_2379",0,0,1,8,0,0,0.111111111111111,0.888888888888889,9,NA
"Lineage_2381",0,42,1,0,0,0.976744186046512,0.0232558139534884,0,43,0.0914016201473927
"Lineage_2383",0,0,2,0,0,0,1,0,2,1
"Lineage_2387",27,0,5,0,0.84375,0,0.15625,0,32,0.395537806456477
"Lineage_2391",0,4,0,0,0,1,0,0,4,0
"Lineage_2393",3,0,0,0,1,0,0,0,3,0
"Lineage_2395",2,3,1,0,0.333333333333333,0.5,0.166666666666667,0,6,0.979868756651153
"Lineage_2397",0,0,0,3,0,0,0,1,3,NA
"Lineage_2398",0,0,23,0,0,0,1,0,23,1
"Lineage_2399",0,1,0,4,0,0.2,0,0.8,5,NA
"Lineage_2400",0,0,0,2,0,0,0,1,2,NA
"Lineage_2402",14,7,4,0,0.56,0.28,0.16,0,25,0.942683189255492
"Lineage_2404",4,0,0,0,1,0,0,0,4,0
"Lineage_2407",9,2,16,0,0.333333333333333,0.0740740740740741,0.592592592592593,0,27,0.950956048454973
"Lineage_2408",0,0,7,11,0,0,0.388888888888889,0.611111111111111,18,NA
"Lineage_2409",0,0,4,0,0,0,1,0,4,1
"Lineage_2415",0,6,0,0,0,1,0,0,6,0
"Lineage_2417",0,0,0,23,0,0,0,1,23,NA
"Lineage_242",5,0,0,0,1,0,0,0,5,0
"Lineage_2420",0,2,0,0,0,1,0,0,2,0
"Lineage_2421",2,1,0,0,0.666666666666667,0.333333333333333,0,0,3,0.91829583405449
"Lineage_2422",0,0,2,3,0,0,0.4,0.6,5,NA
"Lineage_2423",0,1,3,0,0,0.25,0.75,0,4,0.954434002924965
"Lineage_2428",11,0,0,0,1,0,0,0,11,0
"Lineage_2429",6,7,1,0,0.428571428571429,0.5,0.0714285714285714,0,14,0.996316519558962
"Lineage_2430",0,0,11,0,0,0,1,0,11,1
"Lineage_2431",0,0,1,25,0,0,0.0384615384615385,0.961538461538462,26,NA
"Lineage_2433",0,1,3,10,0,0.0714285714285714,0.214285714285714,0.714285714285714,14,NA
"Lineage_2434",0,0,2,17,0,0,0.105263157894737,0.894736842105263,19,NA
"Lineage_2435",0,0,6,0,0,0,1,0,6,1
"Lineage_2436",0,0,0,3,0,0,0,1,3,NA
"Lineage_2437",25,0,3,0,0.892857142857143,0,0.107142857142857,0,28,0.301378643593086
"Lineage_2439",0,6,4,0,0,0.6,0.4,0,10,0.721928094887362
"Lineage_244",0,0,5,2,0,0,0.714285714285714,0.285714285714286,7,NA
"Lineage_2440",0,0,5,5,0,0,0.5,0.5,10,NA
"Lineage_2441",0,0,1,0,0,0,1,0,1,1
"Lineage_2442",0,4,0,0,0,1,0,0,4,0
"Lineage_2444",4,15,15,0,0.117647058823529,0.441176470588235,0.441176470588235,0,34,0.9231199835423
"Lineage_2445",0,0,19,0,0,0,1,0,19,1
"Lineage_2446",0,0,0,8,0,0,0,1,8,NA
"Lineage_2448",0,19,4,0,0,0.826086956521739,0.173913043478261,0,23,0.426228656998145
"Lineage_245",0,0,6,1,0,0,0.857142857142857,0.142857142857143,7,NA
"Lineage_2450",0,0,11,1,0,0,0.916666666666667,0.0833333333333333,12,NA
"Lineage_2451",0,5,0,0,0,1,0,0,5,0
"Lineage_2453",3,0,3,0,0.5,0,0.5,0,6,0.811278124459133
"Lineage_2455",0,5,0,0,0,1,0,0,5,0
"Lineage_2457",0,0,0,7,0,0,0,1,7,NA
"Lineage_246",0,0,5,0,0,0,1,0,5,1
"Lineage_2460",0,3,2,0,0,0.6,0.4,0,5,0.721928094887362
"Lineage_2466",0,0,11,18,0,0,0.379310344827586,0.620689655172414,29,NA
"Lineage_2467",0,14,1,0,0,0.933333333333333,0.0666666666666667,0,15,0.210842300318532
"Lineage_2469",0,3,6,0,0,0.333333333333333,0.666666666666667,0,9,0.91829583405449
"Lineage_2470",2,0,1,0,0.666666666666667,0,0.333333333333333,0,3,0.650022421648354
"Lineage_2473",0,0,1,0,0,0,1,0,1,1
"Lineage_2474",0,0,0,5,0,0,0,1,5,NA
"Lineage_2476",0,0,0,7,0,0,0,1,7,NA
"Lineage_248",0,4,0,0,0,1,0,0,4,0
"Lineage_2482",0,0,4,0,0,0,1,0,4,1
"Lineage_2484",19,0,3,0,0.863636363636364,0,0.136363636363636,0,22,0.35910162564855
"Lineage_2489",0,0,3,0,0,0,1,0,3,1
"Lineage_249",3,0,0,0,1,0,0,0,3,0
"Lineage_2490",0,0,0,24,0,0,0,1,24,NA
"Lineage_2491",0,0,4,0,0,0,1,0,4,1
"Lineage_2492",0,4,0,0,0,1,0,0,4,0
"Lineage_2495",1,0,0,0,1,0,0,0,1,0
"Lineage_2496",0,0,8,0,0,0,1,0,8,1
"Lineage_2497",3,0,0,0,1,0,0,0,3,0
"Lineage_25",8,0,4,0,0.666666666666667,0,0.333333333333333,0,12,0.650022421648354
"Lineage_250",1,4,0,0,0.2,0.8,0,0,5,0.721928094887362
"Lineage_2501",1,11,3,31,0.0217391304347826,0.239130434782609,0.0652173913043478,0.673913043478261,46,NA
"Lineage_2502",0,0,4,0,0,0,1,0,4,1
"Lineage_2504",0,5,7,0,0,0.416666666666667,0.583333333333333,0,12,0.870864469235364
"Lineage_2513",9,0,0,0,1,0,0,0,9,0
"Lineage_2514",0,0,28,0,0,0,1,0,28,1
"Lineage_2519",0,4,0,0,0,1,0,0,4,0
"Lineage_252",1,0,1,0,0.5,0,0.5,0,2,0.811278124459133
"Lineage_2520",0,0,8,0,0,0,1,0,8,1
"Lineage_2521",0,4,0,0,0,1,0,0,4,0
"Lineage_2523",0,0,8,0,0,0,1,0,8,1
"Lineage_2526",9,0,12,0,0.428571428571429,0,0.571428571428571,0,21,0.863120568566631
"Lineage_2529",1,0,4,0,0.2,0,0.8,0,5,0.970950594454669
"Lineage_2530",1,0,4,0,0.2,0,0.8,0,5,0.970950594454669
"Lineage_2534",0,0,10,0,0,0,1,0,10,1
"Lineage_2536",0,1,0,0,0,1,0,0,1,0
"Lineage_2539",0,25,1,58,0,0.297619047619048,0.0119047619047619,0.69047619047619,84,NA
"Lineage_2540",0,0,10,0,0,0,1,0,10,1
"Lineage_2542",6,0,3,0,0.666666666666667,0,0.333333333333333,0,9,0.650022421648354
"Lineage_2544",0,0,2,0,0,0,1,0,2,1
"Lineage_2546",0,1,5,0,0,0.166666666666667,0.833333333333333,0,6,0.979868756651153
"Lineage_2547",0,0,3,0,0,0,1,0,3,1
"Lineage_2549",0,11,11,0,0,0.5,0.5,0,22,0.811278124459133
"Lineage_255",0,0,6,0,0,0,1,0,6,1
"Lineage_2550",0,3,4,0,0,0.428571428571429,0.571428571428571,0,7,0.863120568566631
"Lineage_2552",0,0,0,3,0,0,0,1,3,NA
"Lineage_2553",0,0,2,8,0,0,0.2,0.8,10,NA
"Lineage_2554",0,0,12,0,0,0,1,0,12,1
"Lineage_2555",0,0,3,0,0,0,1,0,3,1
"Lineage_2563",0,4,0,0,0,1,0,0,4,0
"Lineage_2565",0,0,2,2,0,0,0.5,0.5,4,NA
"Lineage_2568",3,0,9,0,0.25,0,0.75,0,12,0.954434002924965
"Lineage_2569",21,4,22,0,0.446808510638298,0.0851063829787234,0.468085106382979,0,47,0.903453555206834
"Lineage_2571",0,5,7,0,0,0.416666666666667,0.583333333333333,0,12,0.870864469235364
"Lineage_2572",0,0,1,0,0,0,1,0,1,1
"Lineage_2575",0,1,0,0,0,1,0,0,1,0
"Lineage_2577",17,1,1,0,0.894736842105263,0.0526315789473684,0.0526315789473684,0,19,0.398459274095236
"Lineage_2578",0,0,0,2,0,0,0,1,2,NA
"Lineage_258",0,0,10,0,0,0,1,0,10,1
"Lineage_2580",0,45,1,0,0,0.978260869565217,0.0217391304347826,0,46,0.086504214121346
"Lineage_2582",0,5,0,0,0,1,0,0,5,0
"Lineage_2585",0,0,0,26,0,0,0,1,26,NA
"Lineage_2586",0,0,7,0,0,0,1,0,7,1
"Lineage_2592",0,5,0,0,0,1,0,0,5,0
"Lineage_2598",3,18,21,0,0.0714285714285714,0.428571428571429,0.5,0,42,0.905928216042999
"Lineage_2600",21,0,0,0,1,0,0,0,21,0
"Lineage_2602",0,3,15,1,0,0.157894736842105,0.789473684210526,0.0526315789473684,19,NA
"Lineage_2604",0,0,10,0,0,0,1,0,10,1
"Lineage_2606",3,0,0,0,1,0,0,0,3,0
"Lineage_2607",0,0,1,16,0,0,0.0588235294117647,0.941176470588235,17,NA
"Lineage_261",0,0,13,0,0,0,1,0,13,1
"Lineage_2610",0,0,19,0,0,0,1,0,19,1
"Lineage_2614",0,0,7,0,0,0,1,0,7,1
"Lineage_2616",0,1,3,0,0,0.25,0.75,0,4,0.954434002924965
"Lineage_2618",0,13,0,1,0,0.928571428571429,0,0.0714285714285714,14,NA
"Lineage_2621",1,0,4,0,0.2,0,0.8,0,5,0.970950594454669
"Lineage_2627",0,0,7,0,0,0,1,0,7,1
"Lineage_2629",0,6,4,1,0,0.545454545454545,0.363636363636364,0.0909090909090909,11,NA
"Lineage_2631",6,0,0,0,1,0,0,0,6,0
"Lineage_2632",0,0,0,25,0,0,0,1,25,NA
"Lineage_2634",1,4,2,0,0.142857142857143,0.571428571428571,0.285714285714286,0,7,0.863120568566631
"Lineage_2635",0,7,0,0,0,1,0,0,7,0
"Lineage_2638",0,6,51,1,0,0.103448275862069,0.879310344827586,0.0172413793103448,58,NA
"Lineage_2643",15,4,2,0,0.714285714285714,0.19047619047619,0.0952380952380952,0,21,0.791858352567484
"Lineage_2645",5,0,0,0,1,0,0,0,5,0
"Lineage_2647",0,3,1,0,0,0.75,0.25,0,4,0.543564443199596
"Lineage_2650",0,0,0,7,0,0,0,1,7,NA
"Lineage_2653",0,12,0,0,0,1,0,0,12,0
"Lineage_2658",0,0,5,0,0,0,1,0,5,1
"Lineage_266",0,0,16,0,0,0,1,0,16,1
"Lineage_2660",0,0,0,1,0,0,0,1,1,NA
"Lineage_2661",0,0,22,0,0,0,1,0,22,1
"Lineage_2668",0,2,2,0,0,0.5,0.5,0,4,0.811278124459133
"Lineage_2669",0,0,14,0,0,0,1,0,14,1
"Lineage_267",0,0,8,0,0,0,1,0,8,1
"Lineage_2671",0,5,0,0,0,1,0,0,5,0
"Lineage_2673",34,28,16,0,0.435897435897436,0.358974358974359,0.205128205128205,0,78,0.995727452084926
"Lineage_2674",0,0,10,1,0,0,0.909090909090909,0.0909090909090909,11,NA
"Lineage_2675",0,0,0,4,0,0,0,1,4,NA
"Lineage_2677",0,3,3,0,0,0.5,0.5,0,6,0.811278124459133
"Lineage_268",0,0,0,6,0,0,0,1,6,NA
"Lineage_2680",0,0,6,0,0,0,1,0,6,1
"Lineage_2683",0,1,0,0,0,1,0,0,1,0
"Lineage_2684",0,0,9,0,0,0,1,0,9,1
"Lineage_2688",8,0,0,0,1,0,0,0,8,0
"Lineage_2689",5,20,10,1,0.138888888888889,0.555555555555556,0.277777777777778,0.0277777777777778,36,NA
