,pvalue,R2
Cnrip1,0,0.352173464178344
Ctsc,0,0.3513444987628
Pbx1,0,0.349633906647409
Podxl,0,0.348939720633627
Rundc3b,0,0.348852680058457
Zfp946,0,0.348795352774614
Igkv8-21,0,0.348386423351353
Stk17b,0,0.348099885128732
Klhdc8a,0,0.347507527472872
Pxdc1,0,0.347465918711234
Hrh4,0,0.347414218317864
Dennd5b,0,0.347191561267557
E330012B07Rik,0,0.346998466303788
Crisp2,0,0.346423617302254
Usp29,0,0.345956218788721
Itgb2l,0,0.345948572075271
Fbxo44,0,0.345903170849968
Jund,0,0.345801728776004
Mxd1,0,0.344575443080885
Slc24a3,0,0.344551828769338
Foxo6os,0,0.344543855406731
Hrk,0,0.344361270252869
Tead2,0,0.344315387923897
Papss2,0,0.343246042349042
Bri3,0,0.34260947653095
1700092C10Rik,0,0.342086166742653
F630206G17Rik,0,0.342002466144676
Hbp1,0,0.341948447863527
Emid1,0,0.341643384621807
Adgre1,0,0.3412914418173
Cdh1,0,0.340749704379947
Jazf1,0,0.340553345968367
Ier3,0,0.340183798704387
Serpinf2,0,0.33930292976283
Gm12116,0,0.339302929762829
Gcnt1,0,0.339014388161789
Gbp3,0,0.338940429497346
Gm17029,0,0.338801800842765
Tarm1,0,0.338559846211377
Gm28587,0,0.338324189647934
Ahnak,0,0.337732308021086
Ambn,0,0.33770608586002
Clnk,0,0.337240695866932
B4galt5,0,0.33720102297321
Pknox2,0,0.336615708273915
Fcgr3,0,0.336273731622943
Vpreb3,0,0.33626606273592
Gm14004,0,0.336135056771189
1700039M15Rik,0,0.336135056771188
Kit,0,0.336124210956784
4930448D08Rik,0,0.33600811396594
Capn2,0,0.335932819555375
Camkk1,0,0.335752693992585
Trim24,0,0.335678004277418
Pcp4l1,0,0.335592378369808
Lilr4b,0,0.333385540395514
Gm42601,0,0.333340950326323
Slc45a3,0,0.333098461619966
Penk,0,0.333056701434992
Cd84,0,0.332886342923511
Gm10696,0,0.332883277683058
F830045P16Rik,0,0.33275879919064
Olfr143,0,0.33275879919064
Rd3,0,0.332623217705441
Il6,0,0.332274407026097
Lrrc3b,0,0.332225336197629
4933427D06Rik,0,0.332123275987762
S100a10,0,0.331916189870705
Grin3a,0,0.331895889343113
Ifih1,0,0.331868907888345
Gm28610,0,0.331759653703796
Cd177,0,0.331728139336312
Ngp,0,0.330567106307886
Gm32736,0,0.330559086411959
2900055J20Rik,0,0.330496639181961
Gm15964,0,0.330153308978528
Dach1,0,0.329982530987367
Gm12758,0,0.329037274722107
Klk1b16,0,0.328546595503054
Gm26533,0,0.328196878054334
Klf12,0,0.327980722989261
Adamts4,0,0.327916345930695
Gm44257,0,0.327088116726749
Casc1,0,0.326673929792209
Noto,0,0.326265033673658
Lox,0,0.326139503865399
Gm5128,0,0.326067157164074
Plin2,0,0.325395346706763
1700039E15Rik,0,0.325293539043646
Itgal,0,0.324995180241478
Fam216a,0,0.324978379673264
Chrnb3,0,0.324944967384194
H1f0,0,0.324591285644797
Olfr954,0,0.324411569777684
Mycn,0,0.324400035449321
Dnaic1,0,0.32432272701502
Grm6,0,0.323850519408601
Stk39,0,0.323357069283983
Matn4,0,0.322992772656604
Tnfsf8,0,0.32285432801485
9930022D16Rik,0,0.32176468448638
Egr1,0,0.321745427119668
Pim2,0,0.321359407705206
Ebf2,0,0.321297995289587
Hes1,0,0.321217482010996
Il1r2,0,0.321160073799664
Olfr1288,0,0.321090310809743
AB124611,0,0.321057057579808
Trim71,0,0.320844510895918
Gadd45b,0,0.320710406505491
Uox,0,0.320510893426454
Zscan2,0,0.320452820581353
Cyp2j6,0,0.320368221581545
4930405H06Rik,0,0.320037923188772
Il33,0,0.320037923188771
Cdkn1c,0,0.319410698563149
Rgs7bp,0,0.319134152661336
1700061H18Rik,0,0.318725365180022
Klri2,0,0.318618524355313
Klf2,0,0.318535044045061
Mybphl,0,0.317943588607682
Tex19.1,0,0.317943588607679
Aqp2,0,0.317943588607677
Gns,0,0.317822363083627
Gm15492,0,0.317798025629557
Glp2r,0,0.317684837829898
Hoxa5,0,0.317663939376814
Msra,0,0.317440306436268
Dhx58,0,0.317131444712363
Anpep,0,0.316840732845114
Tmem154,0,0.316802457044283
Klhl40,0,0.316790240634114
Hs6st2,0,0.316638978816413
Ppp1r14c,0,0.315895472302818
Rnf149,0,0.3156121939546
Zmiz1os1,0,0.315002092196402
Gpr31b,0,0.314465294275855
Asxl3,0,0.314066217404094
Mrgprb1,0,0.313138735457958
Adgrf3,0,0.312807226246885
Il4,0,0.312421834747435
Egln3,0,0.311357190131033
Nipal1,0,0.311121664657824
Myl4,0,0.310929894960091
Nes,0,0.310883494913514
Napsa,0,0.310749899041939
Gm21190,0,0.310383951674208
Muc13,0,0.31038169291778
Gm13546,0,0.310109742847845
Gm19585,0,0.309915684072113
Scn3b,0,0.309784406549807
Adpgk,0,0.30966862983369
Prr32,0,0.309661912328499
Gm6040,0,0.309560187313778
Klrb1f,0,0.309489953717035
5730405O15Rik,0,0.309400352273379
Cd34,0,0.30939661557733
Nme4,0,0.309244039998492
Pcdhac1,0,0.309210821130337
Slc28a1,0,0.308762994872093
E130102H24Rik,0,0.308576165626174
Acot3,0,0.307871650214415
A630035G10Rik,0,0.307750161401569
Prkd1,0,0.3076469116374
Gm20379,0,0.307644500042509
4930503B20Rik,0,0.306928805824126
Tcf7l2,0,0.306630984803736
Pdgfd,0,0.306440320868603
Tnfrsf1b,0,0.306328970792064
Ccdc154,0,0.305646256129246
Gemin4,0,0.305534760178996
Plch2,0,0.305449715187312
Gm8113,0,0.305344960470703
Slpi,0,0.305266818668719
Plscr2,0,0.305083733180036
Klf4,0,0.30470867602411
Socs3,0,0.304633935950612
Rnf112,0,0.303644949996226
Sp140,0,0.303016295242032
Fgf2,0,0.302802534763824
Gm2a,0,0.302665885789717
