,gene,score_001_15,score_005_50,rank_1,rank_2
841,Itga6,0.0030345544,0.0036068826,548.0,709.0
842,Vil1,0.0012566478,0.0016547852,1159.0,1176.0
843,Pin1rt1,0.00067381765,0.0003411542,1449.0,1761.0
844,Epb42,0.00014303073,0.00017310247,1882.0,1906.0
845,Rab27b,0.0017816589,0.0024357552,965.0,983.0
846,Mpzl2,0.0025130326,0.0037832037,731.0,672.0
847,Ltb,0.00012072355,0.00017565028,1907.0,1903.0
848,Serpind1,0.0010237717,0.0013739718,1276.0,1277.0
849,Irf7,0.0007357299,0.0009745298,1407.0,1417.0
850,AB124611,0.00019132032,0.0002478398,1833.0,1839.0
851,Cyp2c23,0.00015641445,0.00021586998,1867.0,1868.0
852,Slc7a2,0.0010038535,0.0016879424,1288.0,1169.0
853,Aadat,0.00022424983,0.0004174182,1790.0,1705.0
854,Cd109,0.0040936777,0.004860917,175.0,402.0
855,Cd44,0.0042282464,0.007604676,149.0,51.0
856,Ano1,0.0010695941,0.0018111408,1254.0,1139.0
857,A530016L24Rik,9.61639e-05,0.00040787246,1921.0,1710.0
858,Hmgcs1,0.0037493447,0.0054206145,288.0,274.0
859,Sulf1,0.0036484883,0.006390837,330.0,118.0
860,Tmpo,0.0036206625,0.0049294005,340.0,383.0
861,Tex14,0.00045005773,0.0005612732,1601.0,1612.0
862,Il17re,4.587363e-05,7.6832825e-05,1944.0,1946.0
863,Klhl38,0.00020303138,0.00023573205,1817.0,1848.0
864,Siglece,0.00015873261,0.00020064534,1865.0,1878.0
865,Ccdc146,0.00023545658,0.00028549507,1782.0,1808.0
866,D630039A03Rik,0.00057385996,0.00047005079,1513.0,1679.0
867,Cdh11,0.004445992,0.007103871,111.0,69.0
868,Tnfaip2,0.0029272465,0.0046598003,581.0,464.0
869,Tnfrsf19,0.00056368357,0.0013479674,1520.0,1285.0
870,Agtr1b,0.00023660045,0.0002805952,1780.0,1811.0
871,Capn9,0.00065758196,0.0011115568,1457.0,1367.0
872,Ier3,0.003770141,0.004895991,283.0,392.0
873,Prss8,0.00024027562,0.00024125911,1776.0,1844.0
874,Fetub,0.0007958932,0.00108472,1380.0,1376.0
875,Runx1t1,0.0028916819,0.0041699084,592.0,583.0
876,Bbox1,0.0006187225,0.0007762618,1486.0,1512.0
877,Gsg1l,0.00023664885,0.00037282705,1779.0,1731.0
878,Ppargc1a,0.0007027323,0.0008572633,1432.0,1481.0
879,Arap3,0.00017776994,0.0003323035,1849.0,1770.0
880,Loxl1,0.004260693,0.0052740695,140.0,307.0
881,Arc,0.0008195195,0.0011147861,1365.0,1366.0
